project	language code	Total number of edits	Total number of unique editors	Total number of pages	Average number of edits per month (last 3 months)	Average number of editors per month (last 3 months)	Total number of bytes added (last 30 days)	Total number of bytes removed (last 30 days)	prefix
Wikivoyage	be	281	33	97	6	2	1436	0	Wy/be
Wiktionary	aeb	280	7	36	28	3	0	0	Wt/aeb
Wikipedia	dru	277	11	77	5	1	0	0	Wp/dru
Wikivoyage	tt	276	19	116	7	4	0	-6	Wy/tt
Wiktionary	pi	275	23	173	4	2	0	0	Wt/pi
Wikipedia	xmm	275	24	102	26	5	108	-108	Wp/xmm
Wiktionary	cu	272	15	112	76	2	477	0	Wt/cu
Wikipedia	fla	272	20	39	2	2	22	0	Wp/fla
Wikipedia	nyn	272	6	110	70	3	18689	-1897	Wp/nyn
Wikipedia	smj	272	23	77	29	4	0	0	Wp/smj
Wiktionary	gld	268	6	117	54	2	0	-3	Wt/gld
Wikipedia	mwr	268	9	240	129	3	0	0	Wp/mwr
Wikipedia	quc	265	50	66	37	5	0	0	Wp/quc
Wikipedia	trp	263	40	42	35	6	0	0	Wp/trp
Wikipedia	maz	260	22	33	9	2	0	0	Wp/maz
Wikipedia	nd	259	34	62	23	6	399	0	Wp/nd
Wiktionary	jut	258	15	127	82	4	0	0	Wt/jut
Wiktionary	cpx	257	11	194	239	6	0	0	Wt/cpx
Wikipedia	kfr	252	44	54	11	5	0	0	Wp/kfr
Wikipedia	moh	248	17	76	27	2	0	-3	Wp/moh
Wiktionary	shi	247	19	36	8	3	0	0	Wt/shi
Wikipedia	omc	247	8	30	6	3	0	0	Wp/omc
Wikipedia	gbm	245	32	42	16	4	0	0	Wp/gbm
Wikipedia	kea	244	33	55	7	3	0	0	Wp/kea
Wikipedia	zai	240	36	53	39	7	0	0	Wp/zai
Wikipedia	lep	236	4	69	2	1	0	0	Wp/lep
Wikipedia	rsk	232	8	22	57	3	52318	-3714	Wp/rsk
